ID,Plant Name,Latin Name,Water Level,Sunlight Level
1,Aibika,Abelmoschus manihot,M,N
2,"Silver Fir, Christmas Tree Fir, European Silver Fir, Silver",Abies alba,M,FSN
3,"Momi Fir, Japanese Fir",Abies firma,M,FSN
4,"Grand Fir, Giant Fir, Lowland White Fir",Abies grandis,M,FSN
5,"Subalpine Fir, Alpine Fir",Abies lasiocarpa,M,FSN
6,West Himalayan Fir,Abies pindrow,M,FSN
7,Noble Fir,Abies procera,M,FSN
8,Sacred Fir,Abies religiosa,M,FSN
9,Sakhalin Fir,Abies sachalinensis,M,FSN
10,Himalayan Fir,Abies spectabilis,M,FSN
11,,Abies veitchii sikokiana,M,FSN
12,Cotton Abroma. Perennial Indian Hemp.,Abroma augusta,M,N
13,Snowball Sand Verbena,Abronia fragrans,DM,N
14,"Sand Verbena, Coastal sand verbena",Abronia latifolia,DM,N
15,Trailing Abutilon,Abutilon megapotamicum,M,SN
16,"Abutilon, Parlour Maple, Flowering Maple, Spotted",Abutilon pictum,M,SN
17,,Abutilon purpurascens,DM,SN
18,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",Abutilon theophrasti,DM,SN
19,Prairie acacia. Timbre. Fernleaf Acacia,Acacia angustissima,DM,N
20,"Cole's wattle, Candelabra Wattle, Soap wattle, ",Acacia colei,DM,N
21,"Shikakai, Soap-Pod",Acacia concinna,D,N
22,Hall’s Creek wattle,Acacia cowleana,DM,N
23,"Mimosa, Silver wattle",Acacia dealbata,DM,N
24,"Sweet Acacia, Perfume Acacia, Huisache",Acacia farnesiana,DM,N
25,"Strap wattle, Candelabra wattle",Acacia holosericea,M,N
26,Koa Acacia,Acacia koa,DM,N
27,"Kuteera-Gum, White-barked acacia.",Acacia leucophloea,DM,N
28,"Black Wattle, Late black wattle",Acacia mearnsii,M,N
29,"Murray’s wattle, Colony wattle",Acacia murrayana,DM,N
30,"Bramble wattle. Gundabluey, Bardi bush",Acacia victoriae,DM,N
31,Pirri-Pirri Bur,Acaenia anserinifolia,M,SN
32,Asian copperleaf,Acalypha australis,M,SN
33,Pitahaya. Barbed-wire cactus.,Acanthocereus tetragonus,D,N
34,Bear's Breeches,Acanthus mollis,DM,SN
35,"Feijoa, Pineapple Guava",Acca sellowiana,DM,N
36,,Acer acuminatum,M,SN
37,Amur Maple,Acer ginnala,M,SN
38,Box Elder,Acer interius,M,SN
39,Maple,Acer mono,M,SN
40,Japanese Maple,Acer palmatum,M,SN
41,"Silver Maple, River Maple, Soft Maple",Acer saccharinum,M,SN
42,"Sugar Maple, Florida Maple, Hard Maple, Rock Maple",Acer saccharum,M,SN
43,"Big-Tooth Maple, Canyon Maple, Rocky Mountain Sugar Maple",Acer saccharum grandidentatum,M,SN
44,Black Maple,Acer saccharum nigrum,M,SN
45,,Acer sterculiaceum,M,SN
46,,Acer ukurunduense caudatum,M,SN
47,"Mace, Sweet-nancy",Achillea ageratum,DM,N
48,Musk Milfoil,Achillea erba-rotta moschata,DM,N
