Latin Name,Common Name,Habit,Height,Hardiness,Soil,Shade,Moisture,Edible,Medicinal,Other
Abelmoschus manihot,Aibika,Perennial,3.0,8-11,F,LMH,N,M,4,1,2
Abies alba,"Silver Fir, Christmas Tree Fir, European Silver Fir, Silver",Tree,45.0,5-8,F,LMH,FSN,M,2,3,4
Abies firma,"Momi Fir, Japanese Fir",Tree,30.0,6-9,M,LMH,FSN,M,1,0,
Abies grandis,"Grand Fir, Giant Fir, Lowland White Fir",Tree,75.0,5-6,F,LMH,FSN,M,2,2,
Abies lasiocarpa,"Subalpine Fir, Alpine Fir",Tree,25.0,5-6,S,LMH,FSN,M,2,2,
Abies pindrow,West Himalayan Fir,Tree,30.0,5-7,S,LMH,FSN,M,0,0,
Abies procera,Noble Fir,Tree,60.0,5-6,M,LMH,FSN,M,0,1,
Abies religiosa,Sacred Fir,Tree,40.0,7-10,F,LMH,FSN,M,0,1,
Abies sachalinensis,Sakhalin Fir,Tree,30.0,3-6,S,LMH,FSN,M,0,0,
Abies spectabilis,Himalayan Fir,Tree,30.0,6-9,S,LMH,FSN,M,0,2,
Abies veitchii sikokiana,,Tree,30.0,3-7,,LMH,FSN,M,0,0,
Abroma augusta,Cotton Abroma. Perennial Indian Hemp.,Shrub,3.0,10-12,F,LMH,N,M,0,3,4
Abronia fragrans,Snowball Sand Verbena,Perennial,0.6,7-10,,LM,N,DM,2,1,
Abronia latifolia,"Sand Verbena, Coastal sand verbena",Perennial,0.1,7-10,,L,N,DM,2,0,
Abutilon megapotamicum,Trailing Abutilon,Shrub,2.0,7-10,F,LMH,SN,M,4,0,0
Abutilon pictum,"Abutilon, Parlour Maple, Flowering Maple, Spotted",Shrub,5.0,8-10,M,LMH,SN,M,3,0,
Abutilon purpurascens,,Shrub,2.4,8-11,,LMH,SN,DM,2,0,
Abutilon theophrasti,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",Annual,1.0,0-0,,LMH,SN,DM,3,2,4
Acacia angustissima,Prairie acacia. Timbre. Fernleaf Acacia,Tree,5.0,7-10,F,LMH,N,DM,2,3,4
Acacia colei,"Cole's wattle, Candelabra Wattle, Soap wattle, ",Shrub,4.0,10-12,F,LMH,N,DM,3,2,3
Acacia concinna,"Shikakai, Soap-Pod",Tree,10.0,10-11,M,LM,N,D,2,1,4
Acacia cowleana,Hall’s Creek wattle,Tree,5.0,10-12,F,LM,N,DM,3,2,3
Acacia dealbata,"Mimosa, Silver wattle",Tree,25.0,7-10,F,LM,N,DM,2,0,3
Acacia farnesiana,"Sweet Acacia, Perfume Acacia, Huisache",Shrub,9.0,9-11,F,LMH,N,DM,2,2,4
Acacia holosericea,"Strap wattle, Candelabra wattle",Shrub,3.0,10-12,F,LMH,N,M,1,2,3
Acacia koa,Koa Acacia,Tree,20.0,10-12,F,LMH,N,DM,0,2,3
Acacia leucophloea,"Kuteera-Gum, White-barked acacia.",Tree,25.0,10-12,M,LMH,N,DM,2,1,3
Acacia mearnsii,"Black Wattle, Late black wattle",Tree,10.0,8-11,F,LM,N,M,1,3,4
Acacia murrayana,"Murray’s wattle, Colony wattle",Tree,5.0,10-12,F,LMH,N,DM,3,2,3
Acacia victoriae,"Bramble wattle. Gundabluey, Bardi bush",Shrub,10.0,8-11,F,LMH,N,DM,4,2,3
Acaenia anserinifolia,Pirri-Pirri Bur,Perennial,0.1,5-9,F,LMH,SN,M,1,1,
Acalypha australis,Asian copperleaf,Annual,0.5,0-0,,LMH,SN,M,0,1,
Acanthocereus tetragonus,Pitahaya. Barbed-wire cactus.,Tree,5.0,10-12,S,LM,N,D,3,0,3
Acanthus mollis,Bear's Breeches,Perennial,1.2,-,,LM,SN,DM,0,2,
